ACSN,W15LH,W1LH,W15RH,W1RH,WCT4,WCT10,WSAFLH,WSAFRH,FIF6,AIF9,AIF12,AIF51,HS1LLH,HS1ULH,HS1LRH,HS1URH,VS2LH,AF1LH,NAC6LH,NAC4LH,NAC6RH,NAC4RH,AF1RH,VS2RH,MLG1LH,MLG2LH,MLG3LH
B1B820001,604.0,604.0,604.0,604.0,421.6253838280451,891.7162162162161,604.0,604.0,330.23229461756375,665.5185185185185,604.0,617.6956187548041,0.0,0.0,0.0,0.0,604.0,522.5804676753783,1407.4517133956388,558.8290598290598,1407.4517133956388,558.8290598290598,522.5804676753783,604.0,,,
B1B830065,22942.0,7335.0,22942.0,7335.0,91101.09928352099,38081.00675675675,103734.0,103736.0,7396.8753541076485,147585.34259259258,212639.0,582335.6126056879,177671.0,33522.0,177727.0,33340.0,188422.0,14913.442916093536,154766.09345794393,491983.29700854706,154766.09345794393,491983.29700854706,14934.207702888585,188422.0,,,
B1B830066,21706.0,6639.0,21706.0,6639.0,91115.758444217,37449.12837837838,99506.0,99509.0,8316.495750708214,147453.12037037036,213296.0,600680.3543428133,198316.0,31102.0,1381494.0,135364.0,187438.0,14751.65061898212,152230.81619937698,590449.1623931624,152230.81619937698,590449.1623931624,14406.436038514445,187146.0,,,
B1B830067,22493.0,7139.0,22493.0,7139.0,91275.61310133061,37595.28716216216,101095.0,101095.0,8263.461756373938,147551.1851851852,213231.0,600798.9846272098,1432282.0,142786.0,215535.0,27957.0,188835.0,15424.775790921596,152852.98442367604,606812.4914529915,152850.65420560748,606812.4914529915,16333.235213204953,188835.0,,,
B1B830068,22662.0,7686.0,22662.0,7686.0,90833.74411463665,37729.63513513513,103425.0,103425.0,26619.784702549576,147363.87037037036,209197.0,601821.6594926979,1362929.0,137131.0,0.0,0.0,188543.0,12496.94085281981,150026.42990654206,638896.1260683761,150024.09968847354,638896.1260683761,12176.81705639615,188543.0,,,
B1B830069,22149.0,7631.0,22149.0,7631.0,88470.12896622314,36065.78716216216,101609.0,101611.0,28535.022662889518,146984.83333333334,213668.0,583665.0899308225,1454905.0,145513.0,1343794.0,141046.0,186937.0,13068.837689133426,152869.2959501558,500391.63888888893,152869.2959501558,500391.63888888893,13132.862448418158,186937.0,,,
B1B830070,21269.0,7792.0,21269.0,7792.0,86853.43295803481,35763.13513513513,99260.0,99260.0,25978.456090651558,146183.78703703705,213371.0,582004.2659492699,1349638.0,135820.0,1384418.0,145856.0,188384.0,15355.559834938103,153314.36760124614,475101.8482905983,153314.36760124614,475101.8482905983,15355.559834938103,188384.0,,,
B1B830071,22098.0,7591.0,22098.0,7591.0,89106.75537359263,37193.71959459459,103079.0,103079.0,30173.609065155808,147277.92592592593,210061.0,601565.9907763259,1361776.0,136936.0,1373860.0,150444.0,189227.0,16169.71251719395,152771.42679127728,636032.5897435897,152771.42679127728,636032.5897435897,16177.499312242093,189227.0,,,
B1B840049,21911.0,6738.0,21911.0,6738.0,91732.14124872058,37610.05067567567,101143.0,101143.0,29420.198300283286,146471.37037037036,214661.0,581369.1848578018,214815.0,27415.0,214920.0,25877.0,187514.0,10888.535075653372,155761.09657320875,337158.0405982906,155761.09657320875,337158.0405982906,10921.41265474553,187514.0,,,
B1B840050,22084.0,7735.0,22084.0,7735.0,88297.70931422724,36115.98310810811,106352.0,106352.0,29182.912181303116,146414.07407407407,213292.0,601919.8362797848,246492.0,27490.0,245015.0,31623.0,188255.0,16719.11416781293,152393.93146417447,656657.452991453,152393.93146417447,656657.452991453,12207.099037138929,188255.0,,,
