ACSN,W15LH,W1LH,W15RH,W1RH,WCT4,WCT10,WSAFLH,WSAFRH,FIF6,AIF9,AIF12,AIF51,HS1LLH,HS1ULH,HS1LRH,HS1URH,VS2LH,AF1LH,NAC6LH,NAC4LH,NAC6RH,NAC4RH,AF1RH,VS2RH,MLG1,MLG2,MLG3
B1B820001,604.0,604.0,604.0,604.0,421.6253838280451,891.7162162162161,604.0,604.0,330.23229461756375,665.5185185185185,604.0,617.6956187548041,0.0,0.0,0.0,0.0,604.0,604.0,1407.4517133956388,558.8290598290598,1407.4517133956388,558.8290598290598,604.0,604.0,,,
B1B830065,22451.0,7239.0,22451.0,7239.0,92317.11156601843,37269.01351351351,97553.0,97555.0,7718.359773371105,157871.12962962964,153740.0,157226.03382013837,153740.0,37537.0,153740.0,37334.0,153740.0,18944.0,154612.29906542058,142242.35042735044,154612.29906542058,142242.35042735044,18973.0,153740.0,,,
B1B830066,21232.0,6534.0,21232.0,6534.0,92370.86182190379,36612.03716216216,93556.0,93559.0,8700.85552407932,157759.84259259258,153233.0,156707.5376633359,153535.0,34891.0,154589.0,154204.0,153233.0,18797.0,152102.65420560748,141773.2670940171,152102.65420560748,141773.2670940171,18348.0,153233.0,,,
B1B830067,22007.0,7046.0,22007.0,7046.0,92530.01842374617,36796.58108108108,95439.0,95439.0,8638.526912181303,157844.6851851852,153457.0,156936.61683320525,153789.0,153789.0,153457.0,31045.0,153457.0,19646.0,152722.49221183802,141980.51495726497,152722.49221183802,141980.51495726497,20826.0,153457.0,,,
B1B830068,22177.0,7586.0,22177.0,7586.0,91486.42579324463,36894.020270270266,97257.0,97257.0,28659.679886685553,157663.9814814815,153658.0,157142.17448116833,154736.0,154736.0,0.0,0.0,153658.0,15810.0,149977.4953271028,142166.4829059829,149977.4953271028,142166.4829059829,15394.0,153658.0,,,
B1B830069,21671.0,7497.0,21671.0,7497.0,89702.8945752303,35272.98648648649,95901.0,95903.0,30699.57507082153,157299.2685185185,153425.0,156903.8912375096,153605.0,153605.0,153522.0,153522.0,153425.0,16584.0,152738.80373831777,141950.90811965812,152738.80373831777,141950.90811965812,16669.0,153425.0,,,
B1B830070,20823.0,7677.0,20823.0,7677.0,88032.44831115661,34976.23986486487,93362.0,93362.0,27975.70538243626,155609.02777777778,153898.0,157387.6164488855,154783.0,154705.0,153950.0,153950.0,153898.0,19500.0,153200.18691588787,142388.5341880342,153200.18691588787,142388.5341880342,19500.0,153898.0,,,
B1B830071,21623.0,7491.0,21623.0,7491.0,90304.61821903787,36405.34797297297,96923.0,96923.0,32451.337110481585,157575.83333333334,153569.0,157051.1564181399,154849.0,154849.0,153352.0,153352.0,153569.0,20600.0,152652.58566978195,142084.1388888889,152652.58566978195,142084.1388888889,20611.0,153569.0,,,
B1B840049,21401.0,6612.0,21401.0,6612.0,92275.22824974412,36736.05067567567,95004.0,95004.0,31978.951841359773,156823.2685185185,151927.0,155371.92428900846,151868.0,30949.0,151610.0,28937.0,151927.0,13935.0,155891.58878504674,140564.93803418803,155891.58878504674,140564.93803418803,13977.0,151927.0,,,
B1B840050,21612.0,7631.0,21612.0,7631.0,88960.16376663256,35330.56418918919,100011.0,100011.0,31385.73654390935,155898.8148148148,153677.0,157161.60530361262,151790.0,31042.0,151790.0,35644.0,153677.0,21300.0,152286.74143302182,142184.06196581197,152286.74143302182,142184.06196581197,15431.0,153677.0,,,
